,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 8915810,From 170172€ To 460000€,Gasthuisstraat25-318970—Poperinge,Nieuwbouwproject-DeLooierij,,,,,,,,,,,,
1,Immoweb code : 8844088,From 174493€ To 441656€,1700—Dilbeek|Askfortheexactaddress,"Residentie""Newton""",,,,,,,,,,,,
2,Immoweb code : 9078670,From 175000€ To 375000€,Kerkstraat198430—Middelkerke,CentralPark,,,,,,,,,,,,
3,Immoweb code : 8932689,From 175000€ To 375000€,Kerkstraat198430—Middelkerke,CentralPark,,,,,,,,,,,,
4,Immoweb code : 8276842,From 180000€ To 290000€,AvenuedelaCroix-Rouge4500—Huy,LeCarrédesMascliers,,,,,,,,,,,,
5,Immoweb code : 8632878,From 185000€ To 315000€,Ringenhofweg852500—Lier,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
6,Immoweb code : 9280182,From 188500€ To 240000€,4830—DOLHAIN|Askfortheexactaddress,Appartementsaupieddesremparts,,,,,,,,,,,,
7,Immoweb code : 8071747,From 192565€ To 277115€,Herentalsebaan-VanStrijdoncklaan2100—Deurne,SilsburgRetour,,,,,,,,,,,,
8,Immoweb code : 9147418,From 199000€ To 215000€,RuedeFosses825060—Arsimont,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
9,Immoweb code : 8808982,From 199000€ To 248500€,ChausséedeRochefort1016900—MARLOIE,Résidencel'Alizé,,,,,,,,,,,,
10,Immoweb code : 9011554,From 206500€ To 276500€,Schriek2682180—Ekeren,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
11,Immoweb code : 8781077,From 209000€ To 249000€,Leuvensesteenweg1473390—Tielt-Winge,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
12,Immoweb code : 9053633,From 210000€ To 315000€,Diestsestraat753270—Scherpenheuvel-Zichem,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
13,Immoweb code : 9196449,215000€,"RuedelaSécurité,1081Koekelberg,Belgique21081—Koekelberg",Apartmentforsale,114,2,Installed,,No,,,,,2,,Good
14,Immoweb code : 9257944,From 217624€ To 279430€,GrandRuedesBouchers7800—Ath,ATH-RésidenceVICTOIRE,,,,,,,,,,,,
15,Immoweb code : 9248475,220000€,Stationslaan25Box1021820—Melsbroek,Apartmentforsale,52,1,USA hyper equipped,42,No,,,,,2,,Good
16,Immoweb code : 9163050,222000€,"DokterJulesPersynplein1,1029185—Wachtebeke",Apartmentforsale,86,2,Semi equipped,,No,,,,,2,,Good
17,Immoweb code : 8685926,From 228000€ To 265000€,ChausséedeTirlemont154260—Braives,BraivesRésidenceMagritt,,,,,,,,,,,,
18,Immoweb code : 9258402,230000€,AvenuedesTamaris43BoxH41080—Molenbeek-Saint-Jean,Apartmentforsale,109,2,Installed,15,No,,,,,,,As new
19,Immoweb code : 9202964,235000€,Merellaan16Box10012930—Brasschaat,Apartmentforsale,88,2,Installed,9,No,,,,,,,Just renovated
20,Immoweb code : 9258692,235000€,Vlindersstraat153500—Hasselt,Apartmentforsale,106,3,Semi equipped,,No,1,1,,,3,,To renovate
21,Immoweb code : 8905722,From 235000€ To 275000€,RuedesScailtons6880—Bertrix,ChampsMorais2,,,,,,,,,,,,
22,Immoweb code : 9216964,From 235897€ To 409184€,3020—Herent|Askfortheexactaddress,Mechelsesteenweg475Herent,,,,,,,,,,,,
23,Immoweb code : 9276115,239000€,Ringlaan582170—Merksem,Apartmentforsale,100,2,Semi equipped,22,No,,,,,2,,As new
24,Immoweb code : 9258411,240000€,BoulevardLouisMettewie68BoxC81080—Molenbeek-Saint-Jean,Penthouseforsale,95,2,Installed,16,No,,,,,,,As new
