,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9250589,189000€,RueDourlet1286000—Charleroi,Houseforsale,160,3,,,,,,30,205,2,,Just renovated
1,Immoweb code : 9309649,79000€,7140—Morlanwelz|Askfortheexactaddress,Houseforsale,80,2,Not installed,,No,,,37,69,2,,To renovate
2,Immoweb code : 9317113,160000€,4800—Verviers|Askfortheexactaddress,Houseforsale,153,6,Semi equipped,22,,,,,145,2,,To be done up
3,Immoweb code : 9233279,69000€,RueduDelta936982—LaRoche-en-Ardenne,Houseforsale,100,,,,No,,,,1200,3,,To restore
4,Immoweb code : 9265013,100000€,ruedesViolettes227100—LaLouviere,Houseforsale,80,2,,,No,,,47,90,2,,To renovate
5,Immoweb code : 7765543,114000€,6000—Charleroi|Askfortheexactaddress,Apartmentblockforsale,160,1,Not installed,,,,,,39,2,,Good
6,Immoweb code : 9251120,149000€,RueNeuvice1324420—Montegnée,Houseforsale,115,2,Semi equipped,40,No,,,280,413,3,,To restore
7,Immoweb code : 8725937,159000€,6180—Courcelles|Askfortheexactaddress,Mixed-usebuildingforsale,200,2,Not installed,80,No,,,190,190,2,,Good
8,Immoweb code : 9204515,165000€,"Leiestraat58,8520—Kuurne",Houseforsale,183,3,Installed,,No,,,,157,2,,Good
9,Immoweb code : 9250586,170000€,Sint-Truidersteenweg473700—Tongeren,Houseforsale,80,2,Semi equipped,,No,,,100,200,2,,As new
10,Immoweb code : 9258623,189000€,Schorvoortstraat622300—Turnhout,Houseforsale,73,2,,,No,,,,122,3,,To be done up
11,Immoweb code : 9069472,199000€,kortrijkstraat1821828770—Ingelmunster,Houseforsale,163,5,Installed,,,,,15,338,4,,Good
12,Immoweb code : 9299279,189000€,Stenebrug519402—Meerbeke,Houseforsale,300,7,Not installed,20,No,,,,300,2,,To renovate
13,Immoweb code : 9296381,198000€,"JanMiraelstraat58,8000—Brugge",Houseforsale,84,2,,,No,,,,46,2,,To be done up
14,Immoweb code : 9300847,198000€,LangeKroonstraat132530—Boechout,Houseforsale,,3,,,No,,,,78,2,,To renovate
15,Immoweb code : 9317861,195000€,Gentsesteenweg581730—Asse,Houseforsale,110,2,Installed,12,No,,,,70,3,,To be done up
16,Immoweb code : 9117687,69999€,6020—Dampremy|Askfortheexactaddress,Houseforsale,,6,Not installed,20,No,,,100,266,2,,To renovate
17,Immoweb code : 9155494,119000€,7134—LEVAL-TRAHEGNIES|Askfortheexactaddress,Mixed-usebuildingforsale,170,2,Semi equipped,,No,,,,,3,,Good
18,Immoweb code : 9155493,119000€,7134—LEVAL-TRAHEGNIES|Askfortheexactaddress,Houseforsale,170,2,Semi equipped,,No,,,,,3,,Good
19,Immoweb code : 9239613,129000€,RuePrèsdelaTour144051—ChaudfontaineVauxsous-Chèvremont,Houseforsale,143,4,Not installed,18,No,,,,183,2,,To renovate
20,Immoweb code : 8656722,129000€,7110—LaLouviere|Askfortheexactaddress,Houseforsale,122,2,Installed,,No,,,40,,2,,To be done up
21,Immoweb code : 8656721,129000€,7110—STREPY-BRACQUEGNIES|Askfortheexactaddress,Houseforsale,122,2,Installed,,No,,,40,,2,,To be done up
22,Immoweb code : 9119437,129000€,7140—Morlanwelz|Askfortheexactaddress,Houseforsale,96,3,Installed,10,No,,,,,2,,Good
23,Immoweb code : 9288781,129000€,7170—LAHESTRE|Askfortheexactaddress,Houseforsale,90,2,Semi equipped,16,No,,,595,750,2,,Good
24,Immoweb code : 9151622,135000€,7850—Enghien|Askfortheexactaddress,Houseforsale,112,2,Semi equipped,29,No,,,,70,2,,Good
25,Immoweb code : 8778696,139000€,1350—ORP-LE-GRAND|Askfortheexactaddress,Mixed-usebuildingforsale,100,2,Semi equipped,,No,,,,236,3,,
26,Immoweb code : 8778695,139000€,1350—ORP-LE-GRAND|Askfortheexactaddress,Houseforsale,100,2,Semi equipped,,No,,,,236,3,,
27,Immoweb code : 9114853,145000€,RuedesWeines184800—VerviersEnsival,Houseforsale,144,3,Not installed,12,No,,,80,152,2,,Good
28,Immoweb code : 9179228,149000€,Ruedel'Industrie754420—Saint-NicolasTilleur,Houseforsale,90,2,Semi equipped,13,No,,,,85,2,,Good
29,Immoweb code : 9280835,149000€,6001—Marcinelle|Askfortheexactaddress,Houseforsale,175,3,Semi equipped,6,No,,,50,200,3,,To be done up
30,Immoweb code : 8378678,149000€,6030—GOUTROUX|Askfortheexactaddress,Houseforsale,167,4,Installed,,,,,,219,3,,Good
31,Immoweb code : 9213860,159000€,Leuvensesteenweg3763200—Aarschot,Houseforsale,97,3,Installed,,No,,,,175,,,To be done up
32,Immoweb code : 8865578,159000€,6150—Anderlues|Askfortheexactaddress,Houseforsale,208,4,Semi equipped,,No,,,1180,,3,,To renovate
33,Immoweb code : 9284840,159000€,7160—PIETON|Askfortheexactaddress,Houseforsale,158,2,Semi equipped,,No,,,85,330,3,,To be done up
34,Immoweb code : 9282952,159000€,7160—PIETON|Askfortheexactaddress,Mixed-usebuildingforsale,158,2,Semi equipped,,No,,,85,330,3,,To be done up
35,Immoweb code : 8988787,160000€,4357—JENEFFE|Askfortheexactaddress,Houseforsale,170,4,Installed,,No,,,,735,3,,Good
36,Immoweb code : 9248725,160000€,RueduBouleau126010—Charleroi,Houseforsale,145,2,Not installed,22,No,,,400,510,4,,To renovate
37,Immoweb code : 9208666,164000€,RueSaint-Roch257860—Lessines,Mansionforsale,157,3,Not installed,,No,,,,198,2,,To renovate
38,Immoweb code : 9144079,164000€,RueSaint-Roch259500—Geraardsbergen,Mansionforsale,157,3,Not installed,,No,,,,198,2,,To renovate
39,Immoweb code : 9273909,165000€,RueMahaim514100—Seraing,Houseforsale,150,3,Semi equipped,,No,,,,620,3,,To be done up
40,Immoweb code : 9169870,168000€,RueLahaut1054100—Seraing,Houseforsale,214,4,,,,,,,251,3,,To be done up
41,Immoweb code : 9248726,175000€,RuedelaChapelle76060—Charleroi,Houseforsale,166,3,Installed,,No,,,340,570,3,,As new
42,Immoweb code : 9112536,175000€,ChausséedeCharleroi1026511—Beaumont,Houseforsale,,5,Semi equipped,,No,,,650,750,3,,To be done up
43,Immoweb code : 9282948,179000€,Kapellekensbaan829280—Lebbeke,Houseforsale,154,3,Installed,,,,,37,128,2,,To renovate
44,Immoweb code : 9263639,180000€,RuedesGrandsSarts436230—Viesville,Houseforsale,120,2,Installed,,No,,,260,505,3,,Good
45,Immoweb code : 9230062,185000€,Vijverwegel9090—Melle,Houseforsale,140,2,Semi equipped,,No,,,,252,2,,To be done up
46,Immoweb code : 9273158,189999€,6183—Trazegnies|Askfortheexactaddress,Houseforsale,197,2,Semi equipped,,No,,,180,370,3,,To be done up
47,Immoweb code : 9251089,194900€,rueduchateau504460—GrÃce-Hollogne,Houseforsale,105,3,Semi equipped,35,,,,100,342,3,,Good
48,Immoweb code : 9229632,195000€,RueJosephWauters686000—Charleroi,Houseforsale,140,4,Installed,,No,,,,,3,,Good
49,Immoweb code : 9274562,195000€,ruedutransval676010—Couillet,Town-houseforsale,145,2,Installed,,,,,,750,2,,As new
50,Immoweb code : 9209077,195000€,rued'enHaut56041—CharleroiGosselies,Villaforsale,90,3,,,No,,,,521,4,,To be done up
51,Immoweb code : 8126941,197500€,AlléedesTortues1845542—Blaimont,Houseforsale,81,2,Installed,,No,,,,788,4,,Good
52,Immoweb code : 9254163,199000€,1440—Wauthier-Braine|Askfortheexactaddress,Houseforsale,85,1,Not installed,8,No,,,,500,3,,To renovate
53,Immoweb code : 9228792,199000€,Nieuwstraat68540—Deerlijk,Houseforsale,160,3,Installed,16,,,,80,171,1,,
54,Immoweb code : 9261419,200000€,Brouwersstraat708660—DePanne,Houseforsale,130,3,Installed,20,,,,,170,2,,Good
55,Immoweb code : 9319527,184000€,Merodestraat749130—Beveren,Houseforsale,90,2,,,No,,,,450,3,,To renovate
56,Immoweb code : 9300777,187000€,CheminRue394960—Malmedy,Houseforsale,114,2,Installed,,No,,,,89,2,,Good
57,Immoweb code : 9319070,50000€,Nieuwpoort355Box3558620—Niewpoort,Houseforsale,,2,Semi equipped,4,No,1,1,20,20,4,,To restore
58,Immoweb code : 9250965,99000€,Petiterue1486769—Gérouville,Houseforsale,110,2,Not installed,,,,,,,2,,To renovate
59,Immoweb code : 9317044,135000€,CitéMalghem406031—Charleroi,Houseforsale,100,3,USA hyper equipped,,No,,,415,415,3,No,Just renovated
60,Immoweb code : 9317685,140000€,RueDeRobiano527130—Binche,Mixed-usebuildingforsale,121,2,Not installed,48,No,,,,114,2,No,To be done up
61,Immoweb code : 9315310,160000€,RueJacob-Makoy64000—Liège,Houseforsale,89,4,,,,,,,100,2,,To be done up
62,Immoweb code : 9315294,183000€,RuedeJalhay164801—Stembert,Houseforsale,147,2,Installed,21,No,,,223,261,2,,Good
63,Immoweb code : 9317429,190000€,7540—RUMILLIES|Askfortheexactaddress,Houseforsale,109,2,Installed,19,No,1,1,,290,2,,Good
64,Immoweb code : 9205323,89000€,Rueducentre95575—Louette-St-Pierre,Houseforsale,415,7,,,,,,237,473,2,,To restore
65,Immoweb code : 9223559,99000€,Heidestraat100Box7C8434—Westende,Houseforsale,49,2,Installed,,No,,,,,2,,To be done up
