,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9286497,Reserve price : 105000€,Kluislaan178670—Oostduinkerke,Apartmentforsale,,1,Installed,,,,,,,,,
1,Immoweb code : 9277673,Reserve price : 115000€,Astridlaan1099500—Nederboelare,Apartmentforsale,,2,Installed,,,,,,,,,
2,Immoweb code : 9215374,Reserve price : 125000€,Nieuwstraat6bus29150—Kruibeke,Duplexforsale,,3,Installed,,,,,,,,,
3,Immoweb code : 9255411,Reserve price : 150000€,Meeuwenlaan188400—Oostende,Apartmentforsale,,2,Installed,,,,,,,,,
4,Immoweb code : 9291311,Reserve price : 185000€,Kolmen24A53980—Tessenderlo,Duplexforsale,,2,Installed,,,,,,,,,
5,Immoweb code : 8971458,205000€,7100—Saint-Vaast|Askfortheexactaddress,Apartmentforsale,112,,,,No,,,,,,,As new
6,Immoweb code : 9241558,210000€,1120—Neder-over-Heembeek|Askfortheexactaddress,Apartmentforsale,65,2,Installed,,No,,,,,2,,
7,Immoweb code : 9243905,210000€,ChausséedeLouvain5395020—Champion,Apartmentforsale,,3,Installed,,,,,,,,,
8,Immoweb code : 9290656,218000€,BurgemeesterVercruysselaan12/0328500—Kortrijk,Studioforsale,65,,Installed,12,,,,,,,No,
9,Immoweb code : 9281989,235000€,"Blauwersstraat16,9930—Lievegem",Penthouseforsale,70,1,,18,No,,,,,2,,
10,Immoweb code : 8733840,238500€,3190—Boortmeerbeek|Askfortheexactaddress,Duplexforsale,92,1,Installed,,No,,,,,3,,Just renovated
11,Immoweb code : 9227993,241000€,Lotelingstraat2812—Muizen,Penthouseforsale,71,1,,,No,,,,,,,As new
12,Immoweb code : 9246577,245000€,JozefDuthoystraat88/00018790—Waregem,Apartmentforsale,,2,,,,,,,,,,
13,Immoweb code : 9079103,245000€,Bosstraat1819420—Erpe-Mere,Apartmentforsale,116,2,,20,,,,,,3,,As new
14,Immoweb code : 9059889,247500€,RuedesPrairies33/09E4630—Soumagne,Apartmentforsale,,2,,,,,,,,,,
15,Immoweb code : 8812547,248000€,"Bruggestraat6,8750—Zwevezele",Apartmentforsale,101,2,,13,No,,,,,2,No,Good
16,Immoweb code : 9303202,235000€,Kerkeneinde75BoxAPP22620—Hemiksem,Groundfloorforsale,82,1,Installed,28,,,,,,,,
17,Immoweb code : 9301411,Reserve price : 60000€,RuedesAuges65/75060—Auvelais,Apartmentforsale,,1,,,,,,,,,,
18,Immoweb code : 9259316,202493€,Marktstraat58Box0021700—Dilbeek,Apartmentforsale,52,1,,13,,,,,,,,
19,Immoweb code : 9301306,209000€,1060—Saint-Gilles|Askfortheexactaddress,Duplexforsale,85,2,,,No,,,,,,,To renovate
20,Immoweb code : 9266264,219000€,Herentalsesteenweg12230—Herselt,Apartmentforsale,76,1,,,,,,,,,,
21,Immoweb code : 8730491,219763€,Pollarebaan2/0.49400—Ninove,Apartmentforsale,78,2,USA hyper equipped,,No,,,30,,,No,
22,Immoweb code : 9266263,221000€,Herentalsesteenweg12230—Herselt,Apartmentforsale,77,1,,,,,,,,,,
23,Immoweb code : 9255032,225000€,KoningAlbertlaan86/033620—Lanaken,Apartmentforsale,100,2,,,,,,,,,No,
24,Immoweb code : 9238380,227000€,LangeElzenstraat2000—Antwerp,Apartmentforsale,,1,Installed,,No,,,,,,No,As new
25,Immoweb code : 9254732,228414€,Ninoofsesteenweg1030Box0021700—Dilbeek,Apartmentforsale,74,1,,15,,,,,,,,
26,Immoweb code : 9260996,230000€,1435—Mont-Saint-Guibert|Askfortheexactaddress,Apartmentforsale,72,1,USA installed,15,,,,89,,,,As new
