,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
750,Immoweb code : 8503244,1100000€,RueSaint-Georges10Box01050—Bruxelles,Balmoral-LASTPENTHOUSE,,,,,,,,,,,,
751,Immoweb code : 8585767,1125000€,AvenueLouise4011050—Ixelles,Apartmentforsale,233,3,Hyper equipped,5,No,,,,,2,,As new
752,Immoweb code : 9137793,1150000€,RueduBuisson41050—Ixelles,Apartmentforsale,200,3,Installed,15,,,,,,3,,To renovate
753,Immoweb code : 9287502,1250000€,AvenuedesChalets41180—Uccle,Apartmentforsale,270,5,Hyper equipped,44,,1,1,,,4,,Just renovated
754,Immoweb code : 9257581,1295000€,RueMarconi1251190—Forest,Apartmentforsale,315,3,USA hyper equipped,,No,,,,,3,,Good
755,Immoweb code : 9260956,From 1350000€ To 1500000€,AvenueduPrinced'Orange2411180—Uccle,LESJARDINSDEMAJORELLE,,,,,,,,,,,,
756,Immoweb code : 9147834,From 1350000€ To 1500000€,AvenueduPrinced'Orange2411180—Uccle,"""JardinsdeMajorelle""",,,,,,,,,,,,
757,Immoweb code : 8977237,From 1350000€ To 1500000€,AvenueduPrinced'Orange2411180—Uccle,LesJardinsdeMajorelle,,,,,,,,,,,,
758,Immoweb code : 8319599,From 1350000€ To 1500000€,AvenueduPrinced'Orange2411180—Uccle,LesJardinsdeMajorelle,,,,,,,,,,,,
759,Immoweb code : 7783221,1350000€,Avenuedel'Observatoire1141180—Uccle,Apartmentforsale,261,4,Hyper equipped,22,No,1,1,2000,,3,,As new
760,Immoweb code : 9128942,1375000€,Zeedijk774Box6.28300—Knokke-Heist,Apartmentforsale,80,2,USA hyper equipped,,,,,,,2,No,As new
761,Immoweb code : 9244536,1435000€,RueSaint-Hubert191150—Woluwe-Saint-Pierre,"""MinervaCorner""",,,,,,,,,,,,
762,Immoweb code : 9010615,1435000€,rueSaint-Hubert19Box01150—Woluwe-Saint-Pierre,MinervaCorner-LastPen,,,,,,,,,,,,
763,Immoweb code : 9109943,1530000€,AvenueHamoir8A1180—Uccle,SequoiaGarden-LASTUNI,,,,,,,,,,,,
764,Immoweb code : 8805295,1530000€,1180—Uccle|Askfortheexactaddress,SequoiaGarden,,,,,,,,,,,,
765,Immoweb code : 8655826,From 1537000€ To 3370000€,1000—Bruxelles|Askfortheexactaddress,LeCond'Or,,,,,,,,,,,,
766,Immoweb code : 9244569,From 1537000€ To 3370000€,AvenuedelaToisond'Or171050—Ixelles,"""Cond'Or""",,,,,,,,,,,,
767,Immoweb code : 9263250,1600000€,Albertplein118300—Knokke-Heist,Apartmentforsale,118,3,USA hyper equipped,,No,,,,,,No,As new
768,Immoweb code : 8617415,1640000€,AvenueLouise1941050—Bruxelles,LeBailli,,,,,,,,,,,,
769,Immoweb code : 8808763,1645000€,AvenueLouise1941050—Bruxelles,LeBailli,,,,,,,,,,,,
770,Immoweb code : 9236683,1900000€,ChausséedeCharleroi52-541060—Saint-Gilles,KINGCHARLES,,,,,,,,,,,,
771,Immoweb code : 7438771,1950000€,avenuelouise228Box01000—Bruxelles,Louise228-Penthouse,,,,,,,,,,,,
772,Immoweb code : 9200396,2250000€,AvenuedeTervueren3001150—Woluwe-Saint-Pierre,"""ChienVert""",,,,,,,,,,,,
773,Immoweb code : 9202636,2500000€,RueSouveraine7-171050—Ixelles,"""Queen1839""",,,,,,,,,,,,
774,Immoweb code : 9239055,269000€,Steenstraat42Box69420—Mere,Duplexforsale,136,3,Installed,,,,,,,,,As new
775,Immoweb code : 9316089,369000€,"Smidsestraat2,3.133110—Rotselaar",Penthouseforsale,106,2,USA hyper equipped,27,,,,,,3,,As new
776,Immoweb code : 9318162,239000€,Nijverheidsstraat240/061800—Vilvoorde,Apartmentforsale,85,2,Installed,,,,,,,,No,
777,Immoweb code : 9310097,259000€,Fabriekstraat262Box2EV1601—Ruisbroek,Apartmentforsale,165,2,Installed,6,Yes,,,,,2,No,Good
778,Immoweb code : 9309898,364000€,Roesbeke109400—Ninove,Triplexforsale,180,3,Hyper equipped,18,No,,,,,3,,As new
779,Immoweb code : 9309296,364000€,Roesbeke109402—Meerbeke,Triplexforsale,180,3,Hyper equipped,18,No,,,,,3,,As new
780,Immoweb code : 9316992,244500€,ChausséeNapoléon22EBox114500—Huy,Apartmentforsale,165,3,Not installed,16,No,,,,,2,,
781,Immoweb code : 9317430,249000€,ChausséeNapoléon22EBox124500—Huy,Apartmentforsale,158,3,Not installed,16,No,,,,,2,,
782,Immoweb code : 9316692,289000€,NC1080—Molenbeek-Saint-Jean,Duplexforsale,93,2,Installed,16,,,,,,4,,As new
783,Immoweb code : 9316684,289000€,NC1082—Berchem-Sainte-Agathe,Duplexforsale,93,2,Installed,16,,,,,,4,,As new
784,Immoweb code : 9316729,425000€,NC1160—Auderghem,Apartmentforsale,131,3,Installed,10,,,,,,4,,As new
785,Immoweb code : 9317399,950000€,Ruedel'ArbreBenit991050—Ixelles,Duplexforsale,230,4,Hyper equipped,10,No,,,60,,2,,As new
786,Immoweb code : 9307819,189000€,Koestraat29700—Oudenaarde,Apartmentforsale,95,2,Semi equipped,,No,,,,,2,,Good
787,Immoweb code : 9306937,229000€,"Krijgshof2,1139200—Dendermonde",Apartmentforsale,83,2,Installed,16,No,,,,,2,,
788,Immoweb code : 9307926,279000€,Patijntjestraat979000—Gent,Apartmentforsale,80,2,Semi equipped,,No,,,,,2,,
789,Immoweb code : 9308390,665000€,BoulevardduSouverain348Box451160—Auderghem,Penthouseforsale,141,2,USA hyper equipped,50,No,,,,,2,No,As new
790,Immoweb code : 9308314,795000€,AvenueElleboudt91180—Uccle,Duplexforsale,190,4,Installed,40,,1,1,,,2,,Good
791,Immoweb code : 9295875,265000€,Rued'Argent16Box3.081000—Bruxelles,Apartmentforsale,89,1,USA installed,,No,,,,,,,Good
792,Immoweb code : 9295963,510000€,AvenueduCastel921200—Woluwe-Saint-Lambert,Apartmentforsale,146,3,Not installed,2,No,,,,,3,No,To renovate
793,Immoweb code : 9265934,895000€,1200—Woluwe-St-Lambert|Askfortheexactaddress,Apartmentforsale,200,4,Hyper equipped,35,No,,,415,,4,,Good
794,Immoweb code : 9316146,936000€,AvenueJeanVanHorenbeeck155BoxG0A1160—Auderghem,Groundfloorforsale,146,3,Hyper equipped,96,No,,,278,,,No,As new
795,Immoweb code : 9302924,282000€,RueAugusteLannoye11435—Mont-Saint-Guibert,Apartmentforsale,88,2,USA hyper equipped,9,,,,,,2,No,As new
796,Immoweb code : 9270568,997000€,Konkelstraat2141150—Sint-Pieters-Woluwe,Penthouseforsale,200,3,,80,,,,,,3,,As new
797,Immoweb code : 9270575,997000€,Konkelstraat2141200—Sint-Lambrechts-Woluwe,Penthouseforsale,200,3,,80,,,,,,3,,As new
798,Immoweb code : 9301850,135000€,EngelsPlein143000—Leuven,Studioforsale,17,,Not installed,,Yes,,,,,,,As new
799,Immoweb code : 9105932,219000€,"RuedesCrepalles4,A34500—Huy",Apartmentforsale,105,2,,20,No,,,,,,No,As new
