,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9273949,235000€,"Tijdokstraat9,03038380—Zeebrugge",Apartmentforsale,77,1,Installed,4,No,,,,,2,No,As new
1,Immoweb code : 7979685,239500€,Dijk38BoxE-0242861—Onze-Lieve-Vrouw-Waver,Apartmentforsale,67,1,Installed,8,No,,,,,4,,Good
2,Immoweb code : 9125058,239900€,Leopoldstraat1Box12800—Mechelen,Apartmentforsale,83,2,Installed,3,No,,,,,2,,Good
3,Immoweb code : 9087696,240000€,ChausséedeMons23BoxJ61400—Nivelles,Apartmentforsale,106,3,Hyper equipped,25,No,,,,,3,,As new
4,Immoweb code : 9162472,245000€,"DeMontstraat1,38900—Ieper",Apartmentforsale,100,2,Installed,,No,,,,,,,Good
5,Immoweb code : 9287757,249000€,Rood-Kruisstraat268370—Blankenberge,Apartmentforsale,78,2,Installed,18,No,,,,,2,,Good
6,Immoweb code : 9308082,250000€,Vandernootstraat641080—Molenbeek-Saint-Jean,Apartmentforsale,120,4,Semi equipped,,No,,,53,,,,Just renovated
7,Immoweb code : 9284474,240000€,RueJacquelineHarpman41040—Etterbeek,Apartmentforsale,89,2,Semi equipped,9,,,,,,2,,As new
8,Immoweb code : 9301923,249000€,Lambermontlaan246Box2.11030—Schaerbeek,Apartmentforsale,86,2,USA installed,,No,,,,,2,No,Good
9,Immoweb code : 9311552,From 210000€ To 228500€,9600—Ronse|Askfortheexactaddress,RESIDENTIEOVIDE,,,,,,,,,,,,
10,Immoweb code : 8992196,215000€,AvenueduHeymbosch931090—Jette,Apartmentforsale,77,2,Semi equipped,,,,,,,2,No,To be done up
11,Immoweb code : 9159962,219000€,Schaarbeeklei6901800—Vilvoorde,Apartmentforsale,90,2,USA installed,5,No,,,,,2,,Just renovated
12,Immoweb code : 9214988,235000€,RuedeHennin111050—Ixelles,Apartmentforsale,50,1,Hyper equipped,6,No,,,,,2,No,As new
13,Immoweb code : 9219864,240000€,BoulevardLouisMettewie701070—Anderlecht,Apartmentforsale,92,2,Hyper equipped,17,No,,,,,2,No,Good
14,Immoweb code : 9219865,240000€,BoulevardLouisMettewie701080—Molenbeek-Saint-Jean,Apartmentforsale,92,2,Hyper equipped,17,No,,,,,2,No,Good
15,Immoweb code : 9295095,220000€,ChausseedeWaterloo8711180—Uccle,Apartmentforsale,55,1,Hyper equipped,14,No,,,,,2,,As new
16,Immoweb code : 9296515,245000€,AmeliaEarhartlaan13/19051—Sint-Denijs-Westrem,Apartmentforsale,83,2,Installed,,No,,,,,,No,As new
