,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9185065,220000€,1420—Braine-l'Alleud|Askfortheexactaddress,Apartmentforsale,84,2,Installed,9,No,,,,,,No,Good
1,Immoweb code : 9084705,225000€,Oorlogsinvalidenlaan15Box01038434—Westende,Apartmentforsale,56,2,Installed,,Yes,,,,,,No,As new
2,Immoweb code : 9137064,232000€,Beerselsestraat4/311501—Buizingen,Apartmentforsale,90,2,,,,,,,,,No,As new
3,Immoweb code : 9215295,232500€,RueKonkel1711150—Woluwe-Saint-Pierre,Groundfloorforsale,50,1,USA hyper equipped,10,No,,,10,,,No,Good
4,Immoweb code : 9212155,235000€,Ibisstraat19Box1012170—Merksem,Apartmentforsale,86,3,Installed,,,,,,,,,Good
5,Immoweb code : 9126656,235000€,Rueduchevalblanc15/34690—Bassenge,Penthouseforsale,131,2,Installed,,No,,,,,,No,As new
6,Immoweb code : 9283497,239000€,RuedeNamur181Box1011400—Nivelles,Apartmentforsale,65,1,Hyper equipped,55,No,,,,,2,No,Just renovated
7,Immoweb code : 9194837,239000€,AlfonsvandeMaelestraat46Box19320—AalstErembodegem,Groundfloorforsale,100,2,Hyper equipped,,,,,,,2,,As new
8,Immoweb code : 9107828,240000€,Mechelsestraat60/02023000—Leuven,Studioforsale,55,,Installed,,No,,,,,2,,As new
9,Immoweb code : 9238446,245000€,Kleemputtenstraat128Box11770—Liedekerke,Groundfloorforsale,85,2,Installed,35,,,,,,3,,Good
10,Immoweb code : 9048801,245000€,8582—Outrijve|Askfortheexactaddress,Apartmentforsale,146,2,Installed,30,No,1,1,,,4,,Good
11,Immoweb code : 9290884,249000€,Zegershof36Box11790—Affligem,Groundfloorforsale,85,2,Installed,,No,,,,,3,No,Good
12,Immoweb code : 9278868,249000€,Kaai31Box3L2850—Boom,Apartmentforsale,118,2,Installed,7,No,,,,,,,Good
13,Immoweb code : 9214695,249000€,Leeuwerikenstraat34/2023001—Heverlee,Apartmentforsale,60,1,,4,,,,,,,,As new
14,Immoweb code : 9204750,249000€,Kuringenstraat24/2.63500—Hasselt,Apartmentforsale,110,3,,5,,,,,,,,As new
15,Immoweb code : 9244405,249000€,Adinkerkelaan24/02018660—LaPanne,Apartmentforsale,74,2,,,Yes,,,,,,,As new
16,Immoweb code : 8358685,249000€,Yv.Serruysstraat22BoxB48930—Menen,Apartmentforsale,113,3,Installed,27,No,,,,,,,
17,Immoweb code : 9284312,249000€,Groendreef54/0029000—Gent,Groundfloorforsale,50,1,Installed,,No,,,,,,No,As new
18,Immoweb code : 8918758,249500€,1050—Ixelles|Askfortheexactaddress,Apartmentforsale,60,1,USA semi equipped,,No,,,,,2,,Good
19,Immoweb code : 9315898,From 179750€ To 359000€,Bredestraat9600—Ronse,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
20,Immoweb code : 9311992,248715€,Brouwerijstraat2BBox129300—Aalst,Apartmentforsale,98,2,Installed,12,No,,,,,,,
21,Immoweb code : 9236479,230000€,RueSaint-Donat34560—Clavier,Duplexforsale,156,3,Not installed,12,No,,,,,2,,As new
22,Immoweb code : 9271677,232500€,rueSous-Meuse15000—Namur,Apartmentforsale,100,2,Hyper equipped,10,,,,,,4,,As new
23,Immoweb code : 9313795,From 139500€ To 396000€,6700—Arlon|Askfortheexactaddress,LesChanoinesses,,,,,,,,,,,,
24,Immoweb code : 9313252,From 179750€ To 359000€,Bredestraat9600—Ronse,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
25,Immoweb code : 9313219,From 224250€ To 287500€,Kapellenstraat659280—Lebbeke,ResidentieFelix,,,,,,,,,,,,
26,Immoweb code : 9318235,250000€,Ruedel'Attert106700—Arlon,Apartmentforsale,101,2,Installed,,No,,,,,4,,Good
27,Immoweb code : 9297231,225000€,StijnStreuvelslaan29BoxC2630—Aartselaar,Apartmentforsale,94,2,,,,,,,,2,,Just renovated
28,Immoweb code : 9296758,229000€,Hoogleedsesteenweg2/38800—Roeselare,Apartmentforsale,100,3,USA installed,,,,,,,,,As new
29,Immoweb code : 9296620,235000€,HubertFrèreOrbanlaan6459000—Gent,Apartmentforsale,62,1,,4,,,,,,,No,As new
30,Immoweb code : 9312765,214000€,"DeCarninstraat13,8840—Staden",Apartmentforsale,119,2,Installed,,No,,,,,2,No,
31,Immoweb code : 9182362,205000€,"Goetsenhovenplein2,b3300—Goetsenhoven",Triplexforsale,111,3,Installed,16,No,,,,,2,,Good
32,Immoweb code : 9235663,Reserve price : 80000€,PlaceJoseph-Willem13424032—Chênée,Apartmentforsale,64,1,Installed,10,,,,,,4,,Good
33,Immoweb code : 9239049,215000€,Noorderlaan628790—Waregem,Apartmentforsale,76,1,,,No,,,,,4,,Good
34,Immoweb code : 9257376,215000€,Molenstraat59Box49900—Eeklo,Apartmentforsale,100,2,,,No,,,,,2,,To be done up
35,Immoweb code : 8939935,218000€,Sint-Ambrosiusstraat181/00029600—Ronse,Apartmentforsale,105,2,,10,No,,,102,,2,,Good
36,Immoweb code : 9154563,223000€,RueJeanStassart304367—CRISNÉE,Apartmentforsale,89,2,Installed,,No,,,,,,,
37,Immoweb code : 9084341,225000€,AvenueHoubadeStrooper701020—Bruxelles,Apartmentforsale,97,2,Installed,5,No,,,,,2,,Good
38,Immoweb code : 9292423,225000€,AugustvanLandeghemstraat612830—Willebroek,Apartmentforsale,210,5,,,No,,,,,2,,
39,Immoweb code : 9207494,230000€,1470—Genappe|Askfortheexactaddress,Apartmentforsale,90,3,,,No,,,,,2,,Just renovated
40,Immoweb code : 9165693,245000€,Binnenstraat1809300—Aalst,Apartmentforsale,105,2,Hyper equipped,,,,,,,2,,As new
41,Immoweb code : 9275964,249000€,Glazenleeuwstraat166Box19120—Beveren-Waas,Apartmentforsale,90,2,Installed,,No,,,,,4,,
42,Immoweb code : 9308025,Reserve price : 210000€,Bunderken252570—Duffel,Apartmentforsale,,2,Installed,,,,,,,,,As new
43,Immoweb code : 9311035,238000€,Stationsplein30/48730—Beernem,Apartmentforsale,94,2,,,,,,,,,No,As new
44,Immoweb code : 9266411,215000€,SquarePhilippeGilbert4920—Aywaille,Apartmentforsale,98,3,,7,,,,,,,,As new
45,Immoweb code : 9266412,225000€,SquarePhilippeGilbert4920—Aywaille,Apartmentforsale,86,2,,7,,,,,,,,As new
46,Immoweb code : 9027706,230000€,Mandellaan182/2.028800—Roeselare,Apartmentforsale,91,2,Installed,12,No,,,,,,No,
47,Immoweb code : 9301764,239000€,"Elverdingestraat4,B1B8900—Ieper",Apartmentforsale,79,2,,14,No,,,,,,,
48,Immoweb code : 9201741,249000€,d'Arconatistraat771700—Dilbeek,Serviceflatforsale,74,1,USA hyper equipped,13,No,,,,,2,,As new
49,Immoweb code : 9221146,249000€,RueduTraîneau28BoxD/027180—Seneffe,Duplexforsale,185,4,Hyper equipped,5,,1,1,,,2,,As new
50,Immoweb code : 9318871,219500€,Sint-Denijsestraat163Box28500—Kortrijk,Apartmentforsale,95,2,Hyper equipped,,No,,,,,,No,As new
51,Immoweb code : 9318749,230000€,HenryDunantlaan50BoxA4CT1140—Evere,Apartmentforsale,61,1,Installed,,Yes,,,,,,No,Good
52,Immoweb code : 9305443,Reserve price : 230000€,Rooiboslaan1812610—Wilrijk,Apartmentforsale,,3,Installed,,Yes,,,,,2,,Good
53,Immoweb code : 9310126,249000€,1030—Schaerbeek|Askfortheexactaddress,Apartmentforsale,70,1,Installed,,No,,,,,2,,Good
54,Immoweb code : 9297487,Reserve price : 115000€,Vuurkruisenlei262930—Brasschaat,Apartmentforsale,101,2,,,,,,,,,,To be done up
55,Immoweb code : 9304527,238000€,Sint-Laurentiusstraat101/1029700—Oudenaarde,Duplexforsale,123,2,,,Yes,,,,,2,No,As new
56,Immoweb code : 9304526,238000€,Sint-Laurentiusstraat101/1029700—Oudenaarde,Apartmentforsale,123,2,,,Yes,,,,,2,No,As new
57,Immoweb code : 8929256,50000€ + 995€ per month,8400—Oostende|Askfortheexactaddress,Apartmentforsale,110,2,Installed,,No,,,,,3,,
58,Immoweb code : 9032791,203000€,Gasthuisbos5Box72440—Geel,Duplexforsale,85,1,Installed,28,,,,,,,,As new
59,Immoweb code : 9133444,209000€,SinteAnnalaan12Box29300—Aalst,Apartmentforsale,85,2,USA hyper equipped,10,No,,,,,2,,
60,Immoweb code : 8991980,209500€,"Kruisstraat1,73390—Tielt-Winge",Apartmentforsale,70,1,,35,,,,,,2,,As new
61,Immoweb code : 9201896,210000€,"SintGoriksplein9,122650—Edegem",Apartmentforsale,104,2,,14,No,,,,,,,Good
62,Immoweb code : 9245875,215000€,RueLabouxhe814633—Melen,Apartmentforsale,77,1,Not installed,5,No,,,,,,,
63,Immoweb code : 9262397,215000€,VanBeersstraat68370—Blankenberge,Apartmentforsale,59,1,Installed,,No,,,,,2,,
64,Immoweb code : 8937927,215000€,Nieuwpoortsesteenweg571/B4.18400—Oostende,Duplexforsale,112,3,Installed,8,No,,,,,,No,Good
65,Immoweb code : 9196587,220000€,Rink48/A1600—Sint-Pieters-Leeuw,Apartmentforsale,82,2,Semi equipped,,No,,,,,,,To be done up
66,Immoweb code : 8735974,220000€,Blankenbergestraat9Box01018400—Oostende,Apartmentforsale,75,2,Installed,,,,,,,,,Good
67,Immoweb code : 9244324,224500€,Tirinusstraat39/GLV2100—Deurne,Groundfloorforsale,93,2,Installed,45,No,,,45,,2,No,Good
68,Immoweb code : 9183460,225000€,1080—MOLENBEEK-SAINT-JEAN|Askfortheexactaddress,Apartmentforsale,110,2,Installed,,,,,,,2,,Good
69,Immoweb code : 9251476,225000€,1180—Uccle|Askfortheexactaddress,Groundfloorforsale,68,1,Hyper equipped,,No,,,45,,2,No,To be done up
70,Immoweb code : 9284676,227000€,Hoegaardenstraat47Box13300—Tienen,Groundfloorforsale,80,2,,8,No,,,60,,2,,Good
71,Immoweb code : 9141948,228000€,Bosstraat105BBox32500—Lier,Apartmentforsale,100,2,Hyper equipped,8,,,,,,,,As new
72,Immoweb code : 8930889,229000€,1560—Hoeilaart|Askfortheexactaddress,Duplexforsale,105,2,Hyper equipped,,,,,,,2,,As new
73,Immoweb code : 9280532,229000€,Pollarestraat116/49400—Ninove,Apartmentforsale,138,1,Installed,,No,,,,,,No,
74,Immoweb code : 9280990,232000€,Kattendijkdok-Oostkaai152000—Antwerpen,Apartmentforsale,50,1,Hyper equipped,11,,,,,,2,,Just renovated
75,Immoweb code : 9158293,235000€,5000—Namur|Askfortheexactaddress,Apartmentforsale,106,2,,,No,,,,,2,No,Just renovated
76,Immoweb code : 9262392,235000€,VanBeersstraat68370—Blankenberge,Apartmentforsale,60,1,Installed,,No,,,,,2,,
77,Immoweb code : 9187842,235000€,"EricJameslaan12,8370—Blankenberge",Apartmentforsale,106,2,Installed,,No,,,,,2,No,Good
78,Immoweb code : 9236190,235000€,Riethof2/3019700—Oudenaarde,Apartmentforsale,85,2,,5,No,,,,,2,No,As new
79,Immoweb code : 9288681,239000€,"GastondeGrootelaan3,19810—Nazareth",Apartmentforsale,95,2,USA hyper equipped,9,No,,,26,,2,,As new
80,Immoweb code : 9104735,239500€,Kerkstraat21Box028470—Gistel,Groundfloorforsale,88,2,Hyper equipped,17,No,,,,,,,As new
81,Immoweb code : 9104734,239500€,Kerkstraat21Box038470—Gistel,Groundfloorforsale,92,2,Hyper equipped,11,No,,,,,,,As new
82,Immoweb code : 8641023,240000€,KoninklijkeBaan102/05028670—Koksijde,Apartmentforsale,65,1,Installed,,Yes,,,,,,,
83,Immoweb code : 8943723,245000€,"RueCourbevoie8,JDC6F1031348—Louvain-La-Neuve",Apartmentforsale,56,1,Hyper equipped,,No,,,,,,No,As new
84,Immoweb code : 9162696,245000€,Dorpsstraat64/58340—Sijsele,Apartmentforsale,101,2,,7,,,,,,,No,
85,Immoweb code : 9262408,245000€,VanBeersstraat68370—Blankenberge,Apartmentforsale,63,1,Installed,,No,,,,,2,,
86,Immoweb code : 9291018,249000€,AvenuedeBurlet691400—Nivelles,Duplexforsale,97,2,USA hyper equipped,,No,,,,,2,No,Good
87,Immoweb code : 8977312,249000€,"Otterstraat2,42300—Turnhout",Apartmentforsale,115,2,,,No,,,,,2,,
88,Immoweb code : 9265706,249000€,5000—Namur|Askfortheexactaddress,Apartmentforsale,95,3,,10,No,,,,,,,
89,Immoweb code : 9287643,249000€,"E.Teirlinckplein15,8670—Koksijde",Apartmentforsale,63,2,,,Yes,,,,,2,,Good
90,Immoweb code : 9284087,249000€,"Izegemsestraat12,8860—Lendelede",Apartmentforsale,101,3,,,No,,,,,2,No,Good
91,Immoweb code : 9196574,249000€,Abdijstraat65/3019700—Oudenaarde,Apartmentforsale,84,2,,8,No,,,,,2,No,As new
92,Immoweb code : 9296537,209000€,Veurnestraat13/3018620—Nieuwpoort,Apartmentforsale,50,1,,,Yes,,,,,,No,Just renovated
93,Immoweb code : 9252987,245000€,Malehoeklaan70Box1.038310—BruggeSint-Kruis,Apartmentforsale,89,2,Hyper equipped,10,No,,,,,2,,Good
94,Immoweb code : 9307245,From 163000€ To 579500€,Turnhoutsebaan243290—Diest,DeTuilerie,,,,,,,,,,,,
95,Immoweb code : 9302089,Reserve price : 125000€,RueduBoë114180—Hamoir,Duplexforsale,,2,Installed,6,,,,,,,,As new
96,Immoweb code : 9229094,215000€,Bondgenotenlaan161Box13000—Louvain,Studioforsale,30,1,Installed,,,,,,,1,,As new
97,Immoweb code : 9301501,235000€,AugusteReyerslaan341030—Schaerbeek,Apartmentforsale,70,1,Hyper equipped,15,No,,,,,4,,As new
98,Immoweb code : 9159614,235000€,Scheldedreef10Box139230—Wetteren,Apartmentforsale,,2,Hyper equipped,14,,,,,,3,,As new
99,Immoweb code : 9053070,240000€,Kabbeekvest3300—Tienen,Duplexforsale,120,3,Hyper equipped,7,No,,,,,3,,As new
100,Immoweb code : 9301500,245000€,AugusteReyerslaan341030—Schaerbeek,Apartmentforsale,70,1,Hyper equipped,6,No,,,,,4,,As new
101,Immoweb code : 9318150,220000€,Brugsesteenweg17/118800—Roeselare,Apartmentforsale,85,2,,,,,,,,,No,As new
102,Immoweb code : 9304823,From 189000€ To 266500€,Staatsbaan749991—MaldegemAdegem,ResidentieOaze,,,,,,,,,,,,
103,Immoweb code : 9306542,From 225500€ To 327500€,Marktstraat228810—Lichtervelde,ResidentieKeyzerhof,,,,,,,,,,,,
104,Immoweb code : 9172545,235000€,A.Rodenbachstraat25/319470—Denderleeuw,Apartmentforsale,143,2,Installed,8,,,,,,,No,
105,Immoweb code : 9211233,239500€,Vianenstraat67Box32300—Turnhout,Apartmentforsale,,3,,,No,,,,,2,,As new
106,Immoweb code : 9312302,Reserve price : 80000€,RueJulesHans51420—Braine-l'Alleud,Groundfloorforsale,62,1,Installed,,,,,,,,,Good
107,Immoweb code : 9283676,205000€,RUEDESFRANCS501040—Etterbeek,Studioforsale,38,,Hyper equipped,3,Yes,,,,,1,,As new
108,Immoweb code : 9317677,249000€,Stationsstraat245Box3D9550—Herzele,Apartmentforsale,113,2,,,No,,,,,2,,Good
109,Immoweb code : 9247581,Reserve price : 90000€,Leiebos29-312170—Antwerp,Apartmentforsale,90,2,,,,,,,,2,,To be done up
110,Immoweb code : 9267052,Reserve price : 149000€,WouterHaecklaan11-122100—Antwerp,Apartmentforsale,90,2,,,,,,,,2,,To be done up
111,Immoweb code : 9162393,205000€,"Oostdreef14,8720—Wakken",Duplexforsale,120,3,Installed,,No,,,,,2,No,Good
112,Immoweb code : 7698135,205000€,BroederMareslaan89Box1.029620—Zottegem,Serviceflatforsale,65,1,Installed,4,No,,,,,4,,Good
113,Immoweb code : 9143635,210000€,Bouwensstraat37Box01.052140—Antwerp,Apartmentforsale,70,1,Hyper equipped,4,No,,,,,2,No,As new
114,Immoweb code : 9218250,215000€,Avenued'Italie281050—Ixelles,Groundfloorforsale,60,1,Semi equipped,12,,,,,,1,,Good
115,Immoweb code : 9182990,217000€,"Driehuizen6,59200—DendermondeBaasrode",Duplexforsale,123,3,Installed,,,,,,,,,Good
116,Immoweb code : 9292450,219000€,RuedeHuy108C&DBox0.24280—Hannut,Groundfloorforsale,99,2,,13,No,,,,,4,,
117,Immoweb code : 9197197,220000€,1070—Anderlecht|Askfortheexactaddress,Apartmentforsale,,3,Installed,5,No,,,,,,No,Good
118,Immoweb code : 9146504,220000€,Wapenstilstandlaan10-122600—Berchem(Antwerpen),Apartmentforsale,80,2,,,No,,,,,4,,Good
119,Immoweb code : 8685651,220000€,HenriJasparlaan115Box02028434—Westende,Apartmentforsale,96,3,,,No,,,,,4,,Just renovated
120,Immoweb code : 8040002,220000€,HenriJasparlaan115Box02028434—Westende,Apartmentforsale,96,3,,,No,,,,,4,,Just renovated
121,Immoweb code : 9009915,225000€,1030—Schaerbeek|Askfortheexactaddress,Apartmentforsale,80,2,Installed,4,,,,,,2,,Good
122,Immoweb code : 9270606,225000€,AvenuedesCroixdeGuerre1391120—Bruxelles,Apartmentforsale,65,2,Semi equipped,,No,,,,,2,No,Just renovated
