,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9186178,229150€,Markizaatstraat579340—Lede,Apartmentforsale,82,2,Hyper equipped,13,,,,,,4,,
1,Immoweb code : 9291106,249500€,NijlenseSteenweg1072270—Herenthout,Apartmentforsale,88,2,Hyper equipped,12,,,,,,,No,As new
2,Immoweb code : 9293717,Reserve price : 80000€,RuedesFloralies891200—Woluwe-Saint-Lambert,Studioforsale,,1,Installed,,,,,,,,,
3,Immoweb code : 9294137,Reserve price : 150000€,RueKeyenveld651050—Ixelles,Apartmentforsale,,2,Installed,,,,,,,,,
4,Immoweb code : 7633372,No price,"Bloemistenstraat1,9160—Lokeren",Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
5,Immoweb code : 9242897,From 15000€ To 299000€,Bavikhoofsestraat18-248710—Ooigem,ResidentieBakkerkes,,,,,,,,,,,,
6,Immoweb code : 9051797,From 82500€ To 500000€,"LeopoldIILaan5,8420—Wenduine",Maï-Line,,,,,,,,,,,,
7,Immoweb code : 9050003,From 135000€ To 380000€,chausséeCharleroi205030—Gembloux,Urbana,,,,,,,,,,,,
8,Immoweb code : 9289027,From 150000€ To 330600€,rueBouillenne/FrançoisLapierre4620—Fléron,Ville&Campagne,,,,,,,,,,,,
9,Immoweb code : 9071945,From 158000€ To 366000€,RueduViaduc907850—Enghien,LaFonderie,,,,,,,,,,,,
10,Immoweb code : 9182373,From 158959€ To 219654€,8550—Zwevegem|Askfortheexactaddress,ProjectFlux-ResidentieEdison,,,,,,,,,,,,
11,Immoweb code : 8928544,From 165000€ To 320000€,8480—Eernegem|Askfortheexactaddress,Stationsstraat80-82EernegemAppartementen,,,,,,,,,,,,
12,Immoweb code : 9194443,From 171600€ To 303800€,RueduSart-Tilman3604031—Angleur,RésidenceAtlantis-SartTilman,,,,,,,,,,,,
13,Immoweb code : 8804291,From 195100€ To 330000€,RueNotreDamedeGraces1076900—Marche-en-Famenne,CentralPark-BlocF,,,,,,,,,,,,
14,Immoweb code : 8757021,From 198300€ To 248700€,"Veldbrugstraat40,9060—Zelzate",Veldbrug,,,,,,,,,,,,
15,Immoweb code : 9205732,From 199000€ To 395000€,2220—Heist-op-den-Berg|Askfortheexactaddress,ResidentieKempenaershof,,,,,,,,,,,,
16,Immoweb code : 8599020,From 201200€ To 215400€,Westendelaan2668434—Westende,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
17,Immoweb code : 9003099,From 213421€ To 279987€,Molenheide682870—Puurs,ResidentieIVAR,,,,,,,,,,,,
18,Immoweb code : 9208981,From 223500€ To 398500€,DudzeelseSteenweg121-1278000—Brugge,SEPP,,,,,,,,,,,,
19,Immoweb code : 8993465,From 225000€ To 360000€,Hoogstraat1799250—Waasmunster,Wazelaar,,,,,,,,,,,,
20,Immoweb code : 8826093,From 228000€ To 288000€,Kapellestraat42/At.e.m9220—Hamme,Parkresidentie'Kerkwijck',,,,,,,,,,,,
21,Immoweb code : 8985244,From 233000€ To 498000€,RueduGonhy614100—Boncelles,OXYGEN,,,,,,,,,,,,
22,Immoweb code : 8461260,From 234600€ To 291975€,Sportstraat9230—Wetteren,ResidentieMarion,,,,,,,,,,,,
23,Immoweb code : 9090297,235000€,Dorpsstraat388340—Sijsele,ResidentieNiels,,,,,,,,,,,,
24,Immoweb code : 9025936,From 235000€ To 370000€,Heerweg-Zuid1909052—Zwijnaarde,HeerHuisZuidFase1,,,,,,,,,,,,
25,Immoweb code : 9093106,241495€,Lupinestraat3800—Sint-Truiden,George0.2,,,,,,,,,,,,
26,Immoweb code : 8969304,From 241700€ To 357290€,Weeldestraat262381—Weelde,residentieMoleneynde,,,,,,,,,,,,
27,Immoweb code : 8693639,From 250000€ To 380000€,RuedesCombattants555030—Gembloux,RésidenceduParc,,,,,,,,,,,,
28,Immoweb code : 9265531,Reserve price : 40000€,EsplanadedelaPaix3044040—Herstal,Groundfloorforsale,,2,,,,,,,,,,
29,Immoweb code : 9265290,Reserve price : 45000€,RuesurMeuse35424500—Huy,Apartmentforsale,,2,,,,,,,,,,To renovate
30,Immoweb code : 9286361,Reserve price : 60000€,BoulevardduJardinBotanique31000—Bruxelles,Studioforsale,,1,Installed,,,,,,,,,
31,Immoweb code : 9286360,Reserve price : 70000€,BoulevardduJardinBotanique31000—Bruxelles,Studioforsale,,1,Installed,,,,,,,,,
32,Immoweb code : 9247502,Reserve price : 85000€,Luxemburgstraat1/38400—Oostende,Apartmentforsale,,1,Installed,,,,,,,,,
33,Immoweb code : 9228989,Reserve price : 115000€,Bareelstraat452300—Turnhout,Apartmentforsale,108,3,,,,,,,,,,
34,Immoweb code : 9187257,Reserve price : 139000€,SecretarisMeyerlei8922170—Merksem,Apartmentforsale,,2,,,,,,,,2,,
35,Immoweb code : 9281848,Reserve price : 140000€,AvenueMarcelThiry141200—Woluwe-Saint-Lambert,Apartmentforsale,,1,Installed,,,,,,,,,
36,Immoweb code : 9216141,Reserve price : 160000€,Diestersesteenweg440013583—Paal,Duplexforsale,,2,,,,,,,,3,,
37,Immoweb code : 9280946,Reserve price : 190000€,Holstraat74/01019000—Gent,Apartmentforsale,,2,,,,,,,,,,
38,Immoweb code : 9256802,210000€,koninginlaan75/03038370—Blankenberge,Apartmentforsale,,2,Installed,,No,,,,,,,
39,Immoweb code : 9232914,218450€,Hasseltweg400/113600—Genk,Duplexforsale,106,3,,18,,,,,,,,
40,Immoweb code : 9117623,219000€,NieuweMarkt9220—Hamme,Apartmentforsale,88,2,Installed,9,,,,,,2,,
41,Immoweb code : 9064189,229000€,1082—Berchem-Sainte-Agathe|Askfortheexactaddress,Groundfloorforsale,80,2,USA semi equipped,,No,,,35,,2,No,Good
42,Immoweb code : 9273901,229000€,8480—Eernegem|Askfortheexactaddress,Apartmentforsale,73,2,Installed,7,No,,,,,2,,Good
43,Immoweb code : 9189172,230000€,"Sportstraat7,28400—Oostende",Apartmentforsale,61,1,,,No,,,,,2,,As new
44,Immoweb code : 9156930,235000€,Brusselsesteenweg869280—Lebbeke,Apartmentforsale,,2,,,No,,,,,,No,
45,Immoweb code : 9035821,235775€,Ettingen9820—Merelbeke,Apartmentforsale,70,1,,11,No,,,,,,No,
46,Immoweb code : 8519525,242000€,Astridlaan558370—Blankenberge,Apartmentforsale,,1,Installed,,No,,,,,,No,
47,Immoweb code : 9278475,245000€,Kinkhoornlaan3/1038660—LaPanne,Apartmentforsale,75,2,,,,,,,,,,As new
48,Immoweb code : 8805012,249900€,Harelbekestraat178570—VICHTE,Apartmentforsale,99,3,Hyper equipped,,No,,,71,,2,,
49,Immoweb code : 9296375,225000€,8870—Izegem|Askfortheexactaddress,Apartmentforsale,105,2,Installed,,No,,,,,2,,Good
50,Immoweb code : 9310371,229000€,HeiligGrafstraat4B/01019900—Eeklo,Apartmentforsale,100,2,,7,,,,,,,No,
51,Immoweb code : 9301119,Reserve price : 73500€,Winterslagstraat4873600—Genk,Apartmentforsale,,1,Installed,,,,,,,,,
52,Immoweb code : 9021645,210000€,RouteduCondroz4100—Boncelles,Apartmentforsale,88,2,,11,,,,,,3,,As new
53,Immoweb code : 9233636,222560€,Vissersstraat518380—BruggeZeebrugge,Apartmentforsale,80,1,Hyper equipped,13,,,,,,,,As new
54,Immoweb code : 7500195,222727€,RuePaulDebraz24020—Liège2,Apartmentforsale,84,2,,12,,,,,,,,As new
55,Immoweb code : 9179410,235000€,AvenueLéopoldIII271140—Evere,Apartmentforsale,77,1,,,,,,,,4,,
56,Immoweb code : 9226477,247603€,Vijverstraat19Box13870—Heers,Apartmentforsale,106,2,,15,No,,,405,,3,,
57,Immoweb code : 9318549,245000€,Carnotstraat121Box1-A2140—Antwerp,Apartmentforsale,127,2,Installed,33,No,,,,,,No,Good
58,Immoweb code : 9299768,229000€,a8400—Oostende,Apartmentforsale,93,2,,,,,,,,,,
