,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9128343,From 155000€ To 250000€,rueJosephWauters6230—Pont-à-Celles,LECAP,,,,,,,,,,,,
1,Immoweb code : 7940959,From 156800€ To 254600€,boulevardFosseCrahay4000—Liège,Liège-FosseCrahayPHAS,,,,,,,,,,,,
2,Immoweb code : 7941015,From 157300€ To 227800€,4420—Saint-Nicolas|Askfortheexactaddress,Saint-Nicolas-Ruethiou,,,,,,,,,,,,
3,Immoweb code : 8289362,From 159925€ To 306650€,RueDesXivVergess2264000—Rocourt,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
4,Immoweb code : 9239096,From 160000€ To 276000€,Avenuedu8mars1480—Tubize,ConfluentsCôtéRivage-Azur,,,,,,,,,,,,
5,Immoweb code : 7727974,From 160000€ To 369500€,Kasteelstraat559620—Zottegem,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
6,Immoweb code : 8496650,From 161220€ To 365000€,8792—Desselgem|Askfortheexactaddress,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
7,Immoweb code : 8590678,From 161500€ To 279500€,Merelstraat9200—Dendermonde,ResidentieAscot,,,,,,,,,,,,
8,Immoweb code : 8512269,From 162380€ To 258000€,Zeelaan41+8434—Lombardsijde,Res.Modena,,,,,,,,,,,,
9,Immoweb code : 9020615,From 162750€ To 399300€,Rijksweg3058710—Wielsbeke,Michel&Maurice,,,,,,,,,,,,
10,Immoweb code : 9266545,From 164000€ To 298000€,Marktplein9220—Hamme,ResidentieNieuweMarkt,,,,,,,,,,,,
11,Immoweb code : 9093110,From 164609€ To 211308€,Graethemstraat83840—Borgloon,Res.DenAbeel,,,,,,,,,,,,
12,Immoweb code : 8804190,From 165000€ To 370000€,6900—Marche-en-Famenne|Askfortheexactaddress,CentralPark-BlocA,,,,,,,,,,,,
13,Immoweb code : 8435603,From 165000€ To 244000€,RueGeorgesMabile1297021—MonsHavré,RésidenceLeroy,,,,,,,,,,,,
14,Immoweb code : 8106042,From 165000€ To 219824€,7950—Chièvres|Askfortheexactaddress,PROJETCHIEVRES,,,,,,,,,,,,
15,Immoweb code : 9286464,From 166500€ To 309500€,Grand'RoutedeMons667334—Saint-GhislainHautrage,Grand'RoutedeMons66,,,,,,,,,,,,
16,Immoweb code : 9162341,From 167575€ To 299661€,"Koningsstraat16,8800—Rumbeke",RESIDENTIEFLORES,,,,,,,,,,,,
17,Immoweb code : 9244393,From 167741€ To 260145€,HendrikConsciencestraat98800—Roeselare,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
18,Immoweb code : 9187744,From 167741€ To 260145€,"HendrikConsciencestraat9,8800—Roeselare",BEL-FORDBLOKD,,,,,,,,,,,,
19,Immoweb code : 8223973,From 168000€ To 278500€,Strijkerstraat19160—Lokeren,Belvedère,,,,,,,,,,,,
20,Immoweb code : 6867962,From 168500€ To 205000€,ChausséedeMons3247800—Ath,LesHaleurs,,,,,,,,,,,,
21,Immoweb code : 8931266,From 169000€ To 559000€,"Zoutziederstraat0,8400—Oostende",O'Duin,,,,,,,,,,,,
22,Immoweb code : 8831797,From 170000€ To 278500€,Strijkerstraat29160—Lokeren,Belvedère,,,,,,,,,,,,
23,Immoweb code : 8488803,From 170000€ To 278500€,9160—Lokeren|Askfortheexactaddress,BelvédèreHoedhaarLokere,,,,,,,,,,,,
24,Immoweb code : 7961877,From 170000€ To 278500€,Strijkerstraat9160—Lokeren,Belvedère,,,,,,,,,,,,
25,Immoweb code : 9239097,From 171000€ To 345000€,Avenuedu8mars1480—Tubize,ConfluentsCôtéRivage-Opale,,,,,,,,,,,,
26,Immoweb code : 9206775,From 171600€ To 350000€,RueTrémouroux1181360—Perwez,LesHautsdeTrémouroux,,,,,,,,,,,,
27,Immoweb code : 9169585,From 171750€ To 299000€,"Brugstraat92,9160Lokeren929160—Lokeren",RESIDENTIEOSCAR,,,,,,,,,,,,
28,Immoweb code : 8677649,From 172260€ To 357128€,Stationsplein68770—Ingelmunster,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
29,Immoweb code : 9062490,From 173200€ To 695000€,QuaiAndreïSakharov317500—Tournai,Appartementsneufs,,,,,,,,,,,,
30,Immoweb code : 8834934,From 173375€ To 291975€,"Sportstraat2,a9230—Wetteren",Marion,,,,,,,,,,,,
31,Immoweb code : 8671412,From 174000€ To 360000€,RueSteyls/RueEmileDelva1020—Laeken,Steyls,,,,,,,,,,,,
32,Immoweb code : 9079555,From 174500€ To 492500€,ProspervanRaemdonckstraat9120—Beveren,ProsperPark,,,,,,,,,,,,
33,Immoweb code : 9129654,From 174900€ To 249900€,Ruetourdelavierge357950—Chièvres,TONGRE-NOTRE-DAME,,,,,,,,,,,,
34,Immoweb code : 8406528,From 175000€ To 240000€,6210—LesBonsVillers|Askfortheexactaddress,ChapelleVillageAppartem,,,,,,,,,,,,
35,Immoweb code : 8910719,From 175000€ To 290000€,Rosed'Ivrypark8400—Oostende,GreenC-TheGarden,,,,,,,,,,,,
36,Immoweb code : 8588152,From 175000€ To 230000€,Gentsesteenweg428530—Harelbeke,NieuweappartementeninH,,,,,,,,,,,,
37,Immoweb code : 9048223,From 176000€ To 445000€,RuedesBonnesVilles4020—Liege,Bavière-Appartements,,,,,,,,,,,,
38,Immoweb code : 8677977,From 177000€ To 259000€,RuedesFrèresDulait147090—Braine-le-Comte,LesTerrassesdeBraine-3A,,,,,,,,,,,,
39,Immoweb code : 9083951,From 179000€ To 349000€,2870—Puurs-Sint-Amands|Askfortheexactaddress,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
40,Immoweb code : 9221754,From 179000€ To 365000€,Rietvoornstraat108530—Harelbeke,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
41,Immoweb code : 9091801,From 179000€ To 319000€,Hemelrijkstraat269140—Steendorp,ResidentieDeKozze,,,,,,,,,,,,
42,Immoweb code : 9178664,From 179075€ To 381434€,Akkerstraat99060—Zelzate,ResidentieAkker,,,,,,,,,,,,
43,Immoweb code : 8822828,From 179900€ To 316500€,Bassinstraat-Hoek2850—Boom,BrigBoom,,,,,,,,,,,,
44,Immoweb code : 8807540,From 180000€ To 480000€,RueduBayBonnet4620—Fleron,LaFolieDouce,,,,,,,,,,,,
45,Immoweb code : 8847479,From 180000€ To 227000€,RuedesFrèresDulait147090—Braine-le-Comte,LesTerrassesdeBraine-8,,,,,,,,,,,,
46,Immoweb code : 8392395,From 180000€ To 378000€,Weststraat178370—Blankenberge,ResidentieHampton,,,,,,,,,,,,
47,Immoweb code : 9065719,From 180000€ To 274500€,Zuidstraat328530—Harelbeke,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
48,Immoweb code : 7633369,From 180000€ To 274500€,"Zuidstraat0,8530—Harelbeke",'tZuid-Harelbeke,,,,,,,,,,,,
49,Immoweb code : 9189134,From 180000€ To 370000€,"Izegemsestraat90,8800—Roeselare",STERRUM,,,,,,,,,,,,
50,Immoweb code : 8815481,From 181617€ To 333425€,Blerebergstraat493390—Tielt-Winge,"Residentie""Blereberg""",,,,,,,,,,,,
51,Immoweb code : 8445878,From 181888€ To 376203€,Dorpstraat609140—TemseElversele,ResidentieMargritte,,,,,,,,,,,,
52,Immoweb code : 9291507,From 182000€ To 311000€,Veldhoekstraat28020—Waardamme,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
53,Immoweb code : 9192038,From 183000€ To 266500€,4500—Huy|Askfortheexactaddress,Albert1er,,,,,,,,,,,,
54,Immoweb code : 8101847,From 185000€ To 285000€,ChausséedeWavre1091370—Jodoigne,Stellar,,,,,,,,,,,,
55,Immoweb code : 8511064,From 185000€ To 292800€,"Vlietestraat8,8531—Bavikhove",BELLINI,,,,,,,,,,,,
56,Immoweb code : 7827549,From 185550€ To 258300€,RueHaynol8BoxC6800—Libramont-Chevigny,LesHirondelles,,,,,,,,,,,,
57,Immoweb code : 8855820,From 186706€ To 320090€,"Rumbeeksesteenweg392,8800—Rumbeke",WoonprojectBrouweryGebouwA,,,,,,,,,,,,
58,Immoweb code : 8597753,From 189000€ To 799000€,Triomflaan2111160—Auderghem,Deltaview-Appartementen,,,,,,,,,,,,
59,Immoweb code : 8616939,From 189000€ To 282000€,Herentalsebaan592-5942100—Deurne,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
60,Immoweb code : 7774415,From 189000€ To 205000€,Molenstraat10a9160—Lokeren,ResidentieSERING,,,,,,,,,,,,
61,Immoweb code : 9082356,From 189500€ To 381500€,Smedenpoort19880—Aalter,Smedenpoort-STADSWAAG,,,,,,,,,,,,
62,Immoweb code : 9168969,From 190000€ To 339000€,Langemarkstraat35-378980—Zonnebeke,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
63,Immoweb code : 8002591,From 190000€ To 315000€,BroederMareslaan9620—Zottegem,ResidentieLeon,,,,,,,,,,,,
64,Immoweb code : 9257223,From 190000€ To 310000€,Abdijstraat699700—Oudenaarde,ResidentieJames,,,,,,,,,,,,
