,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9015334,205000€,4430—Ans|Askfortheexactaddress,Apartmentforsale,96,2,Not installed,8,No,,,,,,,
1,Immoweb code : 9270605,215000€,AvenuedesCroixdeGuerre1391120—Bruxelles,Apartmentforsale,65,2,Semi equipped,,No,,,,,2,No,
2,Immoweb code : 9207753,219000€,Rued*Arquet30BoxB5000—Namur,Apartmentforsale,85,2,,,,,,,,4,,As new
3,Immoweb code : 9236075,219000€,8470—Gistel|Askfortheexactaddress,Apartmentforsale,125,2,Installed,,No,,,,,2,No,Good
4,Immoweb code : 9166695,225000€,PlainedelaSarte334500—LASARTEÀHUY,Groundfloorforsale,115,2,Installed,18,,,,280,,4,,
5,Immoweb code : 9183568,235000€,Raversijdestraat44Boxa8400—Oostende,Apartmentforsale,97,2,Installed,,No,,,,,2,,
6,Immoweb code : 9045809,237500€,"Tulpenlaan10,8420—Wenduine",Apartmentforsale,92,2,Installed,7,No,,,,,2,,Good
7,Immoweb code : 9107307,239000€,"Nieuwpoortlaan1,18434—Lombardsijde",Duplexforsale,91,2,Hyper equipped,5,No,,,,,,No,As new
8,Immoweb code : 9019919,245000€,Stationsstraat136/39550—Herzele,Apartmentforsale,,2,,,,,,,,2,No,As new
9,Immoweb code : 9236192,248000€,Remparden14/4069700—Oudenaarde,Apartmentforsale,66,1,,9,No,,,,,4,No,As new
10,Immoweb code : 9234517,249000€,Sittardstraat6/53840—Borgloon,Penthouseforsale,115,2,,15,,,,,,,No,
11,Immoweb code : 8557613,249000€,7700—Mouscron|Askfortheexactaddress,Apartmentforsale,175,3,Installed,14,No,,,,,,,Good
12,Immoweb code : 9258789,249000€,8430—Middelkerke|Askfortheexactaddress,Apartmentforsale,56,2,Installed,10,Yes,,,,,2,No,Good
13,Immoweb code : 9247628,249500€,"Marktstraat41,9990—Maldegem",Apartmentforsale,76,2,Installed,,No,,,,,2,No,Good
14,Immoweb code : 9308128,220000€,"BaronDeMaerelaan2,01138380—Zeebrugge",Apartmentforsale,65,1,USA hyper equipped,,,,,,,,,
15,Immoweb code : 9027519,209000€,Boomsesteenweg4/0022830—Willebroek,Apartmentforsale,68,1,Hyper equipped,6,No,,,18,,2,No,As new
16,Immoweb code : 9168809,223000€,Mandellaan182/01028800—Roeselare,Apartmentforsale,79,2,,12,,,,,,,No,
17,Immoweb code : 9073960,225000€,4050—Chaudfontaine|Askfortheexactaddress,Apartmentforsale,87,2,Installed,38,,,,,,,No,
18,Immoweb code : 9278452,225380€,Processieweg3/19450—Heldergem,Apartmentforsale,90,2,Hyper equipped,,No,,,,,,No,
